model,threshold_bp,threshold,net_benefit,net_benefit_ci_low,net_benefit_ci_high,n_folds,endpoint,stage
real_only,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,raw
real_only,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,raw
real_only,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,raw
real_only,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,raw
real_only,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,raw
real_only,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,raw
real_only,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,raw
real_only,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,raw
real_only,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,raw
real_only,1000,0.1,0.6452227585596945,0.6399796905795284,0.6512407571040373,5,any_abnormal,raw
real_only,1100,0.11,0.6412364974199158,0.6359345185635681,0.6473221139254309,5,any_abnormal,raw
real_only,1200,0.12,0.6371596394360513,0.6317974108199722,0.6433144106745836,5,any_abnormal,raw
real_only,1300,0.13,0.6329890605789943,0.6275651971512364,0.6392145763145214,5,any_abnormal,raw
real_only,1400,0.14,0.6287214915159594,0.6232345599088088,0.6350193969693413,5,any_abnormal,raw
real_only,1500,0.15,0.624353509063206,0.6188020253195007,0.6307255075219218,5,any_abnormal,raw
real_only,1600,0.16,0.6198918202565865,0.6142691008065231,0.6263293826114685,5,any_abnormal,raw
real_only,1700,0.17,0.6152698835829087,0.6096005805501448,0.6218273269802814,5,any_abnormal,raw
real_only,1800,0.18,0.6103506917993444,0.6040363496334527,0.6172154651141872,5,any_abnormal,raw
real_only,1900,0.19,0.6046161986538461,0.5949898741396534,0.6124897301155969,5,any_abnormal,raw
real_only,2000,0.2,0.5992814396401265,0.5881611708303818,0.607645851742042,5,any_abnormal,raw
real_only,2100,0.21,0.5935284293627403,0.5798852156258126,0.602679343536245,5,any_abnormal,raw
real_only,2200,0.22,0.587439460743973,0.5705490527835839,0.5975854889661969,5,any_abnormal,raw
real_only,2300,0.23,0.5814877995369755,0.5622999731889222,0.5923593264852384,5,any_abnormal,raw
real_only,2400,0.24,0.5746329180187739,0.5504741231369169,0.5869956334126757,5,any_abnormal,raw
real_only,2500,0.25,0.568160852557502,0.5408781751218931,0.5814889085248447,5,any_abnormal,raw
real_only,2600,0.26,0.5612977086128973,0.5300501670821598,0.5758333532346399,5,any_abnormal,raw
real_only,2700,0.27,0.554914253639885,0.5219302426943457,0.5700228512241555,5,any_abnormal,raw
real_only,2800,0.28,0.5476329544892096,0.510342397923457,0.5640509463800466,5,any_abnormal,raw
real_only,2900,0.29,0.5401937376980286,0.4988836647098023,0.5579108188642726,5,any_abnormal,raw
real_only,3000,0.3,0.5322007513361202,0.4859024953080613,0.5515952591337623,5,any_abnormal,raw
real_only,3100,0.31,0.524434241790867,0.474418034612976,0.5450966397009183,5,any_abnormal,raw
real_only,3200,0.32,0.5154029809328377,0.4596275801366793,0.5383703283046862,5,any_abnormal,raw
real_only,3300,0.33,0.5059237821423272,0.4455779856931703,0.5314863823967857,5,any_abnormal,raw
real_only,3400,0.34,0.4968926657491909,0.4324937857953259,0.5243373362800544,5,any_abnormal,raw
real_only,3500,0.35,0.4874323903018849,0.4192680631913271,0.5169633312567654,5,any_abnormal,raw
real_only,3600,0.36,0.4776104613800506,0.4090731276061254,0.5094610569093816,5,any_abnormal,raw
real_only,3700,0.37,0.4676466911965425,0.3953594175099173,0.5016151095318887,5,any_abnormal,raw
real_only,3800,0.38,0.4569066358982597,0.3853814574962302,0.4934384943205575,5,any_abnormal,raw
real_only,3900,0.39,0.4452798334809221,0.3752255704040999,0.4851005434232828,5,any_abnormal,raw
real_only,4000,0.4,0.432238606074326,0.365657930289111,0.4765188858136709,5,any_abnormal,raw
real_only,4100,0.41,0.420283175128288,0.3558886970539341,0.4675405354658328,5,any_abnormal,raw
real_only,4200,0.42,0.4075669677447948,0.3460765113985213,0.4579049915478373,5,any_abnormal,raw
real_only,4300,0.43,0.3958545780240344,0.3344373497916637,0.4480228058516857,5,any_abnormal,raw
real_only,4400,0.44,0.3843645858001437,0.3238699965260354,0.4366872957220161,5,any_abnormal,raw
real_only,4500,0.45,0.3752040785842461,0.3196015818820466,0.4248904632322627,5,any_abnormal,raw
real_only,4600,0.46,0.3653580070208008,0.3124761075585177,0.4141191361585849,5,any_abnormal,raw
real_only,4700,0.47,0.3539749167121473,0.3029354636431764,0.400628739479565,5,any_abnormal,raw
real_only,4800,0.48,0.3435006687522223,0.2954108037328788,0.3909359362896245,5,any_abnormal,raw
real_only,4900,0.49,0.3306934830629857,0.2878533093864402,0.378389943880018,5,any_abnormal,raw
real_only,5000,0.5,0.3177866172035315,0.2796080460357682,0.36718042603533,5,any_abnormal,raw
rla_selected,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,raw
rla_selected,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,raw
rla_selected,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,raw
rla_selected,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,raw
rla_selected,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,raw
rla_selected,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,raw
rla_selected,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,raw
rla_selected,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,raw
rla_selected,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,raw
rla_selected,1000,0.1,0.6452287645657006,0.6400067176065555,0.6512407571040373,5,any_abnormal,raw
rla_selected,1100,0.11,0.6412498590961988,0.6359946461068418,0.6473221139254309,5,any_abnormal,raw
rla_selected,1200,0.12,0.6371964944729063,0.6319632584858199,0.6433144106745836,5,any_abnormal,raw
rla_selected,1300,0.13,0.6330536769194728,0.6278559706833892,0.6392145763145214,5,any_abnormal,raw
rla_selected,1400,0.14,0.6287089208057142,0.6231779917127058,0.6350193969693413,5,any_abnormal,raw
rla_selected,1500,0.15,0.6244107427674985,0.6190595769888171,0.6307255075219218,5,any_abnormal,raw
rla_selected,1600,0.16,0.6192097123564295,0.6112407881691859,0.6263293826114685,5,any_abnormal,raw
rla_selected,1700,0.17,0.614464274179024,0.6058477270041777,0.6218273269802814,5,any_abnormal,raw
rla_selected,1800,0.18,0.6094844529716977,0.6000324224224883,0.6172154651141872,5,any_abnormal,raw
rla_selected,1900,0.19,0.6042054786480617,0.5932240121775382,0.6122464868723537,5,any_abnormal,raw
rla_selected,2000,0.2,0.5981323893469259,0.5833217574505064,0.6074093634298984,5,any_abnormal,raw
rla_selected,2100,0.21,0.5921354587617349,0.5749009343019515,0.6018808449566062,5,any_abnormal,raw
rla_selected,2200,0.22,0.5852502219343614,0.5646910763568423,0.5951246562381391,5,any_abnormal,raw
rla_selected,2300,0.23,0.5780323512120324,0.5519113517838187,0.5888988331822701,5,any_abnormal,raw
rla_selected,2400,0.24,0.5718976678864618,0.5443671407866006,0.5829046418964079,5,any_abnormal,raw
rla_selected,2500,0.25,0.5653485714842106,0.5342549274483887,0.5778583168415646,5,any_abnormal,raw
rla_selected,2600,0.26,0.5577213210493916,0.5252404785076744,0.5710379592588345,5,any_abnormal,raw
rla_selected,2700,0.27,0.5501374422654713,0.5152067399056921,0.5633435754528054,5,any_abnormal,raw
rla_selected,2800,0.28,0.542790120842269,0.5039385358068147,0.5558587566220637,5,any_abnormal,raw
rla_selected,2900,0.29,0.5355060568101276,0.4906278015993167,0.5497509238081828,5,any_abnormal,raw
rla_selected,3000,0.3,0.5271475996782671,0.4774294644356789,0.5453313776199482,5,any_abnormal,raw
rla_selected,3100,0.31,0.5201402356505207,0.4682235037099997,0.541873524194401,5,any_abnormal,raw
rla_selected,3200,0.32,0.5115487259276378,0.4571339800311779,0.5366228523292592,5,any_abnormal,raw
rla_selected,3300,0.33,0.5018594586311016,0.4460155910022464,0.5302366847201443,5,any_abnormal,raw
rla_selected,3400,0.34,0.4932211932892829,0.435281062005731,0.5271990371152759,5,any_abnormal,raw
rla_selected,3500,0.35,0.485469662916299,0.4283429196244651,0.5224201359299981,5,any_abnormal,raw
rla_selected,3600,0.36,0.4770146938007989,0.419281738591469,0.5178667927587138,5,any_abnormal,raw
rla_selected,3700,0.37,0.4697753635057066,0.4099044381549109,0.5123844692339694,5,any_abnormal,raw
rla_selected,3800,0.38,0.4599907897368392,0.3994129836489442,0.5059591566359573,5,any_abnormal,raw
rla_selected,3900,0.39,0.4520827454817381,0.3913418270481447,0.5004354162144924,5,any_abnormal,raw
rla_selected,4000,0.4,0.4433311522817061,0.3835025595711896,0.4944249301990452,5,any_abnormal,raw
rla_selected,4100,0.41,0.4350173499306807,0.3754199297140601,0.4866572937227226,5,any_abnormal,raw
rla_selected,4200,0.42,0.4275797312280275,0.3682439719951762,0.4813638438818959,5,any_abnormal,raw
rla_selected,4300,0.43,0.4204131350451975,0.3617133624900373,0.474537464981015,5,any_abnormal,raw
rla_selected,4400,0.44,0.4120158853028347,0.3509997725752927,0.4680549658393484,5,any_abnormal,raw
rla_selected,4500,0.45,0.4043008935097559,0.3437250693251773,0.4601950332833877,5,any_abnormal,raw
rla_selected,4600,0.46,0.3965500761501842,0.3340206526439977,0.4522131155743692,5,any_abnormal,raw
rla_selected,4700,0.47,0.389671529987416,0.3264688407187935,0.4477086763903687,5,any_abnormal,raw
rla_selected,4800,0.48,0.3829544748539614,0.3201762337649935,0.440835117327957,5,any_abnormal,raw
rla_selected,4900,0.49,0.3763553925685305,0.3146899000499298,0.4366276205159178,5,any_abnormal,raw
rla_selected,5000,0.5,0.3703701994347765,0.3078565398686987,0.4323426101053769,5,any_abnormal,raw
treat_all,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,raw
treat_all,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,raw
treat_all,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,raw
treat_all,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,raw
treat_all,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,raw
treat_all,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,raw
treat_all,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,raw
treat_all,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,raw
treat_all,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,raw
treat_all,1000,0.1,0.6452227585596945,0.6399796905795284,0.6512407571040373,5,any_abnormal,raw
treat_all,1100,0.11,0.6412364974199158,0.6359345185635681,0.6473221139254309,5,any_abnormal,raw
treat_all,1200,0.12,0.6371596394360513,0.6317974108199722,0.6433144106745836,5,any_abnormal,raw
treat_all,1300,0.13,0.6329890605789943,0.6275651971512364,0.6392145763145214,5,any_abnormal,raw
treat_all,1400,0.14,0.6287214915159594,0.6232345599088088,0.6350193969693413,5,any_abnormal,raw
treat_all,1500,0.15,0.624353509063206,0.6188020253195007,0.6307255075219218,5,any_abnormal,raw
treat_all,1600,0.16,0.6198815270282442,0.6142639541923519,0.6263293826114685,5,any_abnormal,raw
treat_all,1700,0.17,0.6153017863900302,0.6096165319537055,0.6218273269802814,5,any_abnormal,raw
treat_all,1800,0.18,0.6106103447606404,0.6048557579531411,0.6172154651141872,5,any_abnormal,raw
treat_all,1900,0.19,0.6058030650663273,0.5999774339772539,0.6124897301155969,5,any_abnormal,raw
treat_all,2000,0.2,0.6008756033796564,0.5949771519019695,0.607645851742042,5,any_abnormal,raw
treat_all,2100,0.21,0.5958233958275001,0.5898502804070577,0.602679343536245,5,any_abnormal,raw
treat_all,2200,0.22,0.5906416444919552,0.5845919506686866,0.5975854889661969,5,any_abnormal,raw
treat_all,2300,0.23,0.5853253022126299,0.5791970409371111,0.5923593264852384,5,any_abnormal,raw
treat_all,2400,0.24,0.5798690561891119,0.57366015989681,0.5869956334126757,5,any_abnormal,raw
treat_all,2500,0.25,0.5742673102716334,0.5679756286954342,0.5814889085248447,5,any_abnormal,raw
treat_all,2600,0.26,0.5685141658158447,0.5621374615156427,0.5758333532346399,5,any_abnormal,raw
treat_all,2700,0.27,0.5626034009640069,0.5561393445501036,0.5700228512241555,5,any_abnormal,raw
treat_all,2800,0.28,0.5565284481996181,0.5499746132244105,0.5640509463800466,5,any_abnormal,raw
treat_all,2900,0.29,0.5502823700052466,0.5436362274951769,0.5579108188642726,5,any_abnormal,raw
treat_all,3000,0.3,0.543857832433893,0.5371167450308223,0.5515952591337623,5,any_abnormal,raw
treat_all,3100,0.31,0.5372470763822103,0.5304082920602544,0.5450966397009183,5,any_abnormal,raw
treat_all,3200,0.32,0.5304418863290075,0.5235025316493758,0.5384068844024023,5,any_abnormal,raw
treat_all,3300,0.33,0.5234335562742165,0.51639062913668,0.5315174349158709,5,any_abnormal,raw
treat_all,3400,0.34,0.5162128525814016,0.5090632144266296,0.524419214232778,5,any_abnormal,raw
treat_all,3500,0.35,0.5087699733903462,0.501510340802424,0.5171025867594362,5,any_abnormal,raw
treat_all,3600,0.36,0.5010945042245705,0.4937214398774618,0.5095573146775524,5,any_abnormal,raw
treat_all,3700,0.37,0.4931753693709922,0.4856852722564692,0.5017725101486247,5,any_abnormal,raw
treat_all,3800,0.38,0.4850007785543952,0.4773898734218961,0.4937365828929573,5,any_abnormal,raw
treat_all,3900,0.39,0.4765581683667624,0.4688224942976649,0.4854371826125139,5,any_abnormal,raw
treat_all,4000,0.4,0.4678341378395417,0.4599695358692927,0.4768611356560558,5,any_abnormal,raw
treat_all,4100,0.41,0.4588143774639409,0.4508164771552129,0.4679943752434468,5,any_abnormal,raw
treat_all,4200,0.42,0.4494835908684915,0.4413477957268544,0.4588218644717819,5,any_abnormal,raw
treat_all,4300,0.43,0.4398254082521493,0.4315468798624133,0.4493275112169009,5,any_abnormal,raw
treat_all,4400,0.44,0.4298222905423662,0.4213959312885278,0.4394940739172027,5,any_abnormal,raw
treat_all,4500,0.45,0.4194554230976819,0.4108758573119556,0.4293030570793337,5,any_abnormal,raw
treat_all,4600,0.46,0.4087045975994908,0.3999661509658807,0.4187345951733955,5,any_abnormal,raw
treat_all,4700,0.47,0.3975480805730661,0.3886447575878785,0.4077673233842142,5,any_abnormal,raw
treat_all,4800,0.48,0.3859624667379328,0.37688792600303,0.3963782334492952,5,any_abnormal,raw
treat_all,4900,0.49,0.3739225151053432,0.3646700421991679,0.3845425125365364,5,any_abnormal,raw
treat_all,5000,0.5,0.3614009654074501,0.3519634430431511,0.372233362787267,5,any_abnormal,raw
treat_none,100,0.01,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,200,0.02,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,300,0.03,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,400,0.04,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,500,0.05,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,600,0.06,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,700,0.07,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,800,0.08,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,900,0.09,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1000,0.1,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1100,0.11,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1200,0.12,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1300,0.13,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1400,0.14,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1500,0.15,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1600,0.16,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1700,0.17,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1800,0.18,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,1900,0.19,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2000,0.2,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2100,0.21,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2200,0.22,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2300,0.23,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2400,0.24,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2500,0.25,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2600,0.26,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2700,0.27,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2800,0.28,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,2900,0.29,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3000,0.3,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3100,0.31,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3200,0.32,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3300,0.33,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3400,0.34,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3500,0.35,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3600,0.36,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3700,0.37,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3800,0.38,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,3900,0.39,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4000,0.4,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4100,0.41,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4200,0.42,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4300,0.43,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4400,0.44,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4500,0.45,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4600,0.46,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4700,0.47,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4800,0.48,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,4900,0.49,0.0,0.0,0.0,5,any_abnormal,raw
treat_none,5000,0.5,0.0,0.0,0.0,5,any_abnormal,raw
real_only,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,calibrated
real_only,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,calibrated
real_only,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,calibrated
real_only,400,0.04,0.6673963361497137,0.6624809599183079,0.6730382097850349,5,any_abnormal,calibrated
real_only,500,0.05,0.6638952449512895,0.658928127917448,0.6695965067301406,5,any_abnormal,calibrated
real_only,600,0.06,0.6603196624507713,0.6552997037463569,0.6660815759506741,5,any_abnormal,calibrated
real_only,700,0.07,0.6566671857029303,0.6515932489479308,0.6624910552619715,5,any_abnormal,calibrated
real_only,800,0.08,0.6529353072866577,0.6478062190451909,0.6588224797756886,5,any_abnormal,calibrated
real_only,900,0.09,0.6491214095645331,0.6439359577160172,0.6550732762567402,5,any_abnormal,calibrated
real_only,1000,0.1,0.6452227585596945,0.6399796905795284,0.6512407571040373,5,any_abnormal,calibrated
real_only,1100,0.11,0.6412364974199158,0.6359345185635681,0.6473221139254309,5,any_abnormal,calibrated
real_only,1200,0.12,0.6371596394360513,0.6317974108199722,0.6433144106745836,5,any_abnormal,calibrated
real_only,1300,0.13,0.6329890605789943,0.6275651971512364,0.6392145763145214,5,any_abnormal,calibrated
real_only,1400,0.14,0.6287214915159594,0.6232345599088088,0.6350193969693413,5,any_abnormal,calibrated
real_only,1500,0.15,0.624353509063206,0.6188020253195007,0.6307255075219218,5,any_abnormal,calibrated
real_only,1600,0.16,0.6198815270282442,0.6142639541923519,0.6263293826114685,5,any_abnormal,calibrated
real_only,1700,0.17,0.6153128547108683,0.6096220661141245,0.6218273269802814,5,any_abnormal,calibrated
real_only,1800,0.18,0.6105800299479002,0.604840600546771,0.6172154651141872,5,any_abnormal,calibrated
real_only,1900,0.19,0.605414781619411,0.5985834974846953,0.6124897301155969,5,any_abnormal,calibrated
real_only,2000,0.2,0.5997137552305075,0.5901065909870962,0.607645851742042,5,any_abnormal,calibrated
real_only,2100,0.21,0.5942754050347278,0.5832466061497558,0.602679343536245,5,any_abnormal,calibrated
real_only,2200,0.22,0.5884177133298992,0.5749511894202518,0.5975854889661969,5,any_abnormal,calibrated
real_only,2300,0.23,0.5821503091430138,0.5652812664160949,0.5923593264852384,5,any_abnormal,calibrated
real_only,2400,0.24,0.5760749180472157,0.5574494783040838,0.5869956334126757,5,any_abnormal,calibrated
real_only,2500,0.25,0.5687372733446767,0.5443637195693396,0.5814889085248447,5,any_abnormal,calibrated
real_only,2600,0.26,0.5620747082550686,0.5352029015512954,0.5758333532346399,5,any_abnormal,calibrated
real_only,2700,0.27,0.5548683625236722,0.525431335437624,0.5700228512241555,5,any_abnormal,calibrated
real_only,2800,0.28,0.5475788955667367,0.5164398393259513,0.5640509463800466,5,any_abnormal,calibrated
real_only,2900,0.29,0.5392771809222026,0.5048652141567722,0.5579108188642726,5,any_abnormal,calibrated
real_only,3000,0.3,0.5304943378550512,0.4915456023051267,0.5515952591337623,5,any_abnormal,calibrated
real_only,3100,0.31,0.5223875132254301,0.4789924523633156,0.5450966397009183,5,any_abnormal,calibrated
real_only,3200,0.32,0.5127037903647405,0.4668007056916254,0.5384068844024023,5,any_abnormal,calibrated
real_only,3300,0.33,0.5028713519965985,0.4517411591058488,0.5315174349158709,5,any_abnormal,calibrated
real_only,3400,0.34,0.4922857319258291,0.4360533189228136,0.524419214232778,5,any_abnormal,calibrated
real_only,3500,0.35,0.482372955334317,0.4238168478373827,0.5171025867594362,5,any_abnormal,calibrated
real_only,3600,0.36,0.4703112325375903,0.4091005809240746,0.5092617207182865,5,any_abnormal,calibrated
real_only,3700,0.37,0.4580146766599077,0.3973507803553737,0.5012057951339226,5,any_abnormal,calibrated
real_only,3800,0.38,0.4465104193192678,0.3862600343411981,0.4919048552348183,5,any_abnormal,calibrated
real_only,3900,0.39,0.4357692525113558,0.3755227873724868,0.4828456785859525,5,any_abnormal,calibrated
real_only,4000,0.4,0.422834271721059,0.3642979374943709,0.4729422240397651,5,any_abnormal,calibrated
real_only,4100,0.41,0.4129949494280619,0.3565211417894385,0.4637177122029269,5,any_abnormal,calibrated
real_only,4200,0.42,0.4016589143812169,0.345954960914571,0.4519161507191956,5,any_abnormal,calibrated
real_only,4300,0.43,0.3907407276159391,0.3355916134567708,0.4415831422799241,5,any_abnormal,calibrated
real_only,4400,0.44,0.381442017653582,0.3255992588875592,0.4315386110818425,5,any_abnormal,calibrated
real_only,4500,0.45,0.3714008950366691,0.3189604775122203,0.4193132303043137,5,any_abnormal,calibrated
real_only,4600,0.46,0.3615805446083748,0.3123950483853213,0.4086372798088549,5,any_abnormal,calibrated
real_only,4700,0.47,0.3503493726146757,0.3043542540771745,0.3967380986794506,5,any_abnormal,calibrated
real_only,4800,0.48,0.3405113963130715,0.2949410762164072,0.3895079348672971,5,any_abnormal,calibrated
real_only,4900,0.49,0.3292870598716713,0.287658176144261,0.3786038882629152,5,any_abnormal,calibrated
real_only,5000,0.5,0.3177866172035315,0.2796080460357682,0.36718042603533,5,any_abnormal,calibrated
rla_selected,100,0.01,0.6774752350542677,0.6727088096177531,0.6829461428218521,5,any_abnormal,calibrated
rla_selected,200,0.02,0.6741841660242093,0.6693691035934445,0.6797108993812587,5,any_abnormal,calibrated
rla_selected,300,0.03,0.6708252399007475,0.6659605376511089,0.6764089498903438,5,any_abnormal,calibrated
